PDB_ID,Conformacao,Classificacao,RMSD_Medio_Fechada,RMSD_Std_Fechada,RMSD_Medio_Aberta,RMSD_Std_Aberta,Conclusao_RMSD_Medio,Concordancia_Medio
1DMB,HOLO,ABERTA,3.6311,0.6474,0.5499,0.0569,ABERTA,CONCORDA
3PUZ,HOLO,FECHADA,1.0227,1.1471,3.7854,0.2498,FECHADA,CONCORDA
3PV0,HOLO,FECHADA,1.0463,1.142,3.8214,0.249,FECHADA,CONCORDA
3SER,HOLO,FECHADA,1.2005,1.0611,4.1547,0.2472,FECHADA,CONCORDA
3SES,HOLO,FECHADA,1.1058,1.102,4.0011,0.2519,FECHADA,CONCORDA
3SET,HOLO,FECHADA,1.1346,1.0891,4.0753,0.2496,FECHADA,CONCORDA
3SEV,HOLO,FECHADA,1.0737,1.1192,3.8817,0.2448,FECHADA,CONCORDA
3SEW,HOLO,FECHADA,4.1331,0.7154,5.4773,0.1719,FECHADA,CONCORDA
3SEX,HOLO,FECHADA,1.1368,1.0861,3.8916,0.2471,FECHADA,CONCORDA
4KHZ,HOLO,FECHADA,0.9955,1.1562,3.6966,0.2482,FECHADA,CONCORDA
5E24,HOLO,FECHADA,1.0381,1.1313,3.8377,0.2488,FECHADA,CONCORDA
8YBE,HOLO,FECHADA,1.2784,1.0426,3.9285,0.2503,FECHADA,CONCORDA
1EZO,APO,ABERTA,5.5383,0.3018,4.9037,0.0343,ABERTA,CONCORDA
1EZP,APO,ABERTA,4.6156,0.4286,3.4781,0.0387,ABERTA,CONCORDA
1MPB,APO,ABERTA,3.6619,0.6387,0.5185,0.069,ABERTA,CONCORDA
1MPC,APO,ABERTA,3.7526,0.6296,0.5118,0.0837,ABERTA,CONCORDA
1ZIU,APO,ABERTA,3.5222,0.6477,0.615,0.137,ABERTA,CONCORDA
1ZJL,APO,ABERTA,3.8183,0.6206,0.5333,0.1017,ABERTA,CONCORDA
1ZKB,APO,ABERTA,4.2282,0.5881,0.611,0.2275,ABERTA,CONCORDA
1ZMG,APO,ABERTA,3.4857,0.6558,0.8133,0.1015,ABERTA,CONCORDA
2D21,APO,ABERTA,8.6447,0.3654,7.6747,0.054,ABERTA,CONCORDA
2H25,APO,ABERTA,2.9788,0.6789,2.3371,0.2075,ABERTA,CONCORDA
2KLF,APO,ABERTA,4.759,0.4472,3.0749,0.0112,ABERTA,CONCORDA
2MV0,APO,ABERTA,4.1187,0.6127,4.2091,0.1121,FECHADA,DIVERGE
2N44,APO,ABERTA,4.4807,0.4256,3.6589,0.0873,ABERTA,CONCORDA
2N45,APO,FECHADA,3.6403,0.5808,2.3491,0.0843,ABERTA,DIVERGE
3KJT,APO,ABERTA,3.8416,0.6148,0.7805,0.0609,ABERTA,CONCORDA
7Z7H,APO,ABERTA,26.2604,0.0405,26.7996,0.0915,FECHADA,DIVERGE
8C8F,APO,ABERTA,3.7592,0.6211,0.6986,0.0951,ABERTA,CONCORDA
