PDB_ID,Conformacao,Classificacao,RMSD_vs_Fechada,RMSD_vs_Aberta,N_Residuos,Conclusao_RMSD,Concordancia
1DMB,HOLO,ABERTA,3.4743,0.4658,370,ABERTA,CONCORDA
3PUZ,HOLO,FECHADA,0.5232,3.8656,370,FECHADA,CONCORDA
3PV0,HOLO,FECHADA,0.549,3.9012,370,FECHADA,CONCORDA
3SER,HOLO,FECHADA,0.6876,4.2311,370,FECHADA,CONCORDA
3SES,HOLO,FECHADA,0.5977,4.0832,370,FECHADA,CONCORDA
3SET,HOLO,FECHADA,0.6382,4.1526,370,FECHADA,CONCORDA
3SEV,HOLO,FECHADA,0.5901,3.9556,370,FECHADA,CONCORDA
3SEW,HOLO,FECHADA,3.8365,5.5325,370,FECHADA,CONCORDA
3SEX,HOLO,FECHADA,0.6643,3.9581,370,FECHADA,CONCORDA
4KHZ,HOLO,FECHADA,0.5328,3.7732,370,FECHADA,CONCORDA
5E24,HOLO,FECHADA,0.569,3.9129,370,FECHADA,CONCORDA
8YBE,HOLO,FECHADA,0.8572,4.0071,370,FECHADA,CONCORDA
1EZO,APO,ABERTA,5.4649,4.8944,370,ABERTA,CONCORDA
1EZP,APO,ABERTA,4.469,3.4645,370,ABERTA,CONCORDA
1MPB,APO,ABERTA,3.5109,0.428,370,ABERTA,CONCORDA
1MPC,APO,ABERTA,3.6041,0.3821,370,ABERTA,CONCORDA
1ZIU,APO,ABERTA,3.3645,0.6764,370,ABERTA,CONCORDA
1ZJL,APO,ABERTA,3.6749,0.5728,370,ABERTA,CONCORDA
1ZKB,APO,ABERTA,4.097,0.5979,370,ABERTA,CONCORDA
1ZMG,APO,ABERTA,3.3238,0.8244,370,ABERTA,CONCORDA
2D21,APO,ABERTA,8.5173,7.7168,370,ABERTA,CONCORDA
2H25,APO,ABERTA,2.782,2.4156,370,ABERTA,CONCORDA
2KLF,APO,ABERTA,4.6411,3.0723,370,ABERTA,CONCORDA
2MV0,APO,ABERTA,3.9211,4.2165,370,FECHADA,DIVERGE
2N44,APO,ABERTA,4.375,3.7001,370,ABERTA,CONCORDA
2N45,APO,FECHADA,3.5187,2.3285,370,ABERTA,DIVERGE
3KJT,APO,ABERTA,3.6996,0.7852,370,ABERTA,CONCORDA
7Z7H,APO,ABERTA,26.2702,26.843,370,FECHADA,DIVERGE
8C8F,APO,ABERTA,3.6159,0.7432,370,ABERTA,CONCORDA
