PDB_ID,Conformacao,Classificacao
1DMB,HOLO,ABERTA
3PUZ,HOLO,FECHADA
3PV0,HOLO,FECHADA
3SER,HOLO,FECHADA
3SES,HOLO,FECHADA
3SET,HOLO,FECHADA
3SEV,HOLO,FECHADA
3SEW,HOLO,FECHADA
3SEX,HOLO,FECHADA
4KHZ,HOLO,FECHADA
5E24,HOLO,FECHADA
8YBE,HOLO,FECHADA
1EZO,APO,ABERTA
1EZP,APO,ABERTA
1MPB,APO,ABERTA
1MPC,APO,ABERTA
1ZIU,APO,ABERTA
1ZJL,APO,ABERTA
1ZKB,APO,ABERTA
1ZMG,APO,ABERTA
2D21,APO,ABERTA
2H25,APO,ABERTA
2KLF,APO,ABERTA
2MV0,APO,ABERTA
2N44,APO,ABERTA
2N45,APO,FECHADA
3KJT,APO,ABERTA
7Z7H,APO,ABERTA
8C8F,APO,ABERTA
