PDB_ID,Pct_Classificada_Fechada,Classificacao_Majoritaria,N_Combinacoes_Testadas
1DMB,0.0,ABERTA,49
3PUZ,93.9,FECHADA,49
3PV0,93.9,FECHADA,49
3SER,98.0,FECHADA,49
3SES,98.0,FECHADA,49
3SET,98.0,FECHADA,49
3SEV,93.9,FECHADA,49
3SEW,85.7,FECHADA,49
3SEX,93.9,FECHADA,49
4KHZ,91.8,FECHADA,49
5E24,93.9,FECHADA,49
8YBE,93.9,FECHADA,49
1EZO,0.0,ABERTA,49
1EZP,0.0,ABERTA,49
1MPB,0.0,ABERTA,49
1MPC,0.0,ABERTA,49
1ZIU,0.0,ABERTA,49
1ZJL,0.0,ABERTA,49
1ZKB,0.0,ABERTA,49
1ZMG,0.0,ABERTA,49
2D21,0.0,ABERTA,49
2H25,0.0,ABERTA,49
2KLF,0.0,ABERTA,49
2MV0,85.7,FECHADA,49
2N44,0.0,ABERTA,49
2N45,0.0,ABERTA,49
3KJT,0.0,ABERTA,49
7Z7H,100.0,FECHADA,49
8C8F,0.0,ABERTA,49
